CSV_Row_Number,material_id,name,invalid_smiles
836,329,Roselle extract,OC[C@H]1OC(O)C@@HC@@H[C@H]1O
859,329,Roselle extract,OC(=O)C1OC(=O)C@H[C@H]1C(O)C(=O)O
868,329,Roselle extract,OCC@H[C@@H]1OC(=O)C(O)=C1O
869,329,Roselle extract,OC[C@H]1OC(O)C@@HC@H[C@@H]1O
873,329,Roselle extract,OC1=CC=C(C=C1)C=CC(=O)OC2C@HC(O)C@@HC@H[C@H]2C(=O)O
1737,16,aloe vera,OC[C@H]1OC(O)C@HC@@H[C@H]1O
1745,16,aloe vera,CCC@HC@H[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4CC@@HO)C
1746,16,aloe vera,CC@H[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4CC@@HO)C
1747,16,aloe vera,CC(=C)[C@@H]1CC[C@@]2([C@H]1CC[C@]34[C@H]2CC[C@@H]5[C@@]3(CCC@@HO)C(C)C4)C
1992,403,camelia oil,CCC@HC(C)C
1994,403,camelia oil,CC@HC(C)C
2142,406,Guava Leaf Water Extracts,O[C@@H]1C@@HOC(O[C@H]1O)c2c(oc3cc(O)cc(O)c3c2=O)-c4ccc(O)c(O)c4
2143,406,Guava Leaf Water Extracts,OCC1OC@@HC@@H[C@@H]1O
2144,406,Guava Leaf Water Extracts,C[C@H]1OC@@HC@HC@@H[C@H]1O
2145,406,Guava Leaf Water Extracts,OCC1OC@@HC@HC@@H[C@H]1O
2146,406,Guava Leaf Water Extracts,OCC1OC@@HC@HC@@H[C@@H]1O
2149,406,Guava Leaf Water Extracts,Oc1cc(O)c2c(c1)OC(c3ccc(O)c(O)c3)C@@HC2
2159,406,Guava Leaf Water Extracts,CC1OC(OCC2OC(Oc3c(oc4cc(O)cc(O)c4c3=O)-c5ccc(O)c(O)5)C(O)C(O)C2O)C(O)C(O)C1O
2411,409,pomegranate flesh extract (PFE),O=C1OC2C(OC(=O)c3cc(O)c(O)c(O)c3-c4c(O)c(O)cc5c4C(=O)OC6C(OC(=O)c7cc(O)c(O)c(O)c7-c8c(O)c(O)cc1c8)OC(O)C(O)C6O2)
2417,409,pomegranate flesh extract (PFE),OCC@@HC@@HC@HC@HCO
2418,409,pomegranate flesh extract (PFE),OCC@HC@HC@@HC@@HCO
2512,410,chive root extract (CRE),OC[C@H]1OC@@HC(O)C(O)C(O)CO
2659,411,banana peels extract (BPE),NC@@HC(=O)O
2822,412,dihydromyricetin,OC1=CC(O)=C2C(=C1)OC(C@@HC2=O)C3=CC(O)=C(O)C(O)=C3
2825,412,dihydromyricetin,OC1=CC(O)=C2C(=C1)OC(C@@HC2=O)C3=CC(O)=C(O)C=C3
2826,412,dihydromyricetin,OC1=CC(O)=C2C(=C1)OC(C@@HC2=O)C3=CC=C(O)C=C3
2831,412,dihydromyricetin,Oc1cc(O)c2c(c1)OC(c3cc(O)c(O)c(O)c3)C@@HC2
2832,412,dihydromyricetin,Oc1cc(O)c2c(c1)OC(c3cc(O)c(O)c3)C(O)C2
