id,material_id,name,smiles,ratio
1,1,rice starch,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,100.0
2,3,cellulose nanofiber,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,100.0
3,5,corn starch,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,100.0
4,10,whey protein,C[C@@H](C(=O)O)N,5.21
5,10,whey protein,C(C[C@@H](C(=O)O)N)CN=C(N)N,2.32
6,10,whey protein,C([C@@H](C(=O)O)N)C(=O)N,12.18
7,10,whey protein,C([C@@H](C(=O)O)N)S,2.15
8,10,whey protein,C(CC(=O)O)[C@@H](C(=O)O)N,17.66
9,10,whey protein,C(C(=O)O)N,1.43
10,10,whey protein,C1=C(NC=N1)C[C@@H](C(=O)O)N,1.43
11,10,whey protein,CC[C@H](C)[C@@H](C(=O)O)N,6.41
12,10,whey protein,CC(C)C[C@@H](C(=O)O)N,9.94
13,10,whey protein,CCC(CC1=CC=CC=C1)CNC(=O)C2=CC3=C(C=C2)SC4=CC=CC=C4C(=O)N3,8.07
14,10,whey protein,CSCC[C@@H](C(=O)O)N,2.55
15,10,whey protein,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,2.74
16,10,whey protein,C1C[C@H](NC1)C(=O)O,5.45
17,10,whey protein,C(C(C(=O)O)N)O,4.51
18,10,whey protein,C[C@H]([C@@H](C(=O)O)N)O,7.02
19,10,whey protein,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,1.6
20,10,whey protein,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,2.78
21,10,whey protein,CC(C)[C@@H](C(=O)O)N,5.65
22,12,soy protein,C[C@@H](C(=O)O)N,3.6
23,12,soy protein,C(C[C@@H](C(=O)O)N)CN=C(N)N,6.7
24,12,soy protein,C([C@@H](C(=O)O)N)C(=O)N,10.2
25,12,soy protein,C([C@@H](C(=O)O)N)S,1.1
26,12,soy protein,C(CC(=O)O)[C@@H](C(=O)O)N,17.5
27,12,soy protein,C(C(=O)O)N,3.6
28,12,soy protein,C1=C(NC=N1)C[C@@H](C(=O)O)N,2.2
29,12,soy protein,CC[C@H](C)[C@@H](C(=O)O)N,4.3
30,12,soy protein,CC(C)C[C@@H](C(=O)O)N,6.8
31,12,soy protein,CCC(CC1=CC=CC=C1)CNC(=O)C2=CC3=C(C=C2)SC4=CC=CC=C4C(=O)N3,5.6
32,12,soy protein,CSCC[C@@H](C(=O)O)N,1.1
33,12,soy protein,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,4.7
34,12,soy protein,C1C[C@H](NC1)C(=O)O,4.9
35,12,soy protein,C(C(C(=O)O)N)O,4.5
