id,smiles,ExactMolWt,MolLogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,FractionCSP3,LabuteASA,BalabanJ,HeavyAtomCount,NOCount,NumAromaticRings
1,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,180.063388104,-3.2213999999999987,5.0,6.0,110.38000000000001,1.0,1.0,68.64284443677028,2.6344089870615974,12.0,6.0,0.0
2,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,180.063388104,-3.2214000000000005,5.0,6.0,110.38000000000001,1.0,1.0,68.64284443677029,2.6344089870615974,12.0,6.0,0.0
3,C[C@@H](C(=O)O)N,89.047678464,-0.5817999999999999,2.0,2.0,63.31999999999999,1.0,0.6666666666666666,35.76478180587526,3.2575861612334887,6.0,3.0,0.0
4,C(C[C@@H](C(=O)O)N)CN=C(N)N,174.111675688,-1.548099999999999,4.0,3.0,127.71999999999998,5.0,0.6666666666666666,70.43471202895063,3.4399088073379374,12.0,6.0,0.0
5,C([C@@H](C(=O)O)N)C(=O)N,132.053492116,-1.7262999999999993,3.0,3.0,106.40999999999998,3.0,0.5,51.63113671732834,3.632432151939845,9.0,5.0,0.0
6,C([C@@H](C(=O)O)N)S,121.019749464,-0.6719,3.0,3.0,63.31999999999999,2.0,0.6666666666666666,46.919848469276985,3.3434170589539596,7.0,3.0,0.0
7,C(CC(=O)O)[C@@H](C(=O)O)N,147.053157768,-0.736899999999999,3.0,3.0,100.61999999999999,4.0,0.6,57.45042188690824,3.490729660390813,10.0,5.0,0.0
8,C(C(=O)O)N,75.0320284,-0.9702999999999999,2.0,2.0,63.31999999999999,1.0,0.5,29.39983969147865,2.847378923087672,5.0,3.0,0.0
9,C1=C(NC=N1)C[C@@H](C(=O)O)N,155.069476528,-0.6358999999999995,3.0,3.0,92.0,3.0,0.3333333333333333,63.25068441390008,2.4987607772382443,11.0,5.0,1.0
10,CC[C@H](C)[C@@H](C(=O)O)N,131.094628656,0.44439999999999996,2.0,2.0,63.31999999999999,3.0,0.8333333333333334,54.859608149065075,3.7161367711827205,9.0,3.0,0.0
