composition_id,material_id,concentration,name,charactaristic
17,5,4.28,corn starch,"A starch derived from corn kernels, commonly used as a thickener in cooking and baking."
17,3,0.53,cellulose nanofiber,"A nanoscale material derived from cellulose, used for its strength and biocompatibility."
17,61,2.14,basil essential oil,"An essential oil extracted from basil leaves, used for its antimicrobial and aromatic properties."
18,5,5.0,corn starch,"A starch derived from corn kernels, commonly used as a thickener in cooking and baking."
18,3,0.5,cellulose nanofiber,"A nanoscale material derived from cellulose, used for its strength and biocompatibility."
18,61,2.0,basil essential oil,"An essential oil extracted from basil leaves, used for its antimicrobial and aromatic properties."
19,5,4.0,corn starch,"A starch derived from corn kernels, commonly used as a thickener in cooking and baking."
19,3,0.5,cellulose nanofiber,"A nanoscale material derived from cellulose, used for its strength and biocompatibility."
19,61,3.0,basil essential oil,"An essential oil extracted from basil leaves, used for its antimicrobial and aromatic properties."
20,5,5.0,corn starch,"A starch derived from corn kernels, commonly used as a thickener in cooking and baking."
20,3,0.5,cellulose nanofiber,"A nanoscale material derived from cellulose, used for its strength and biocompatibility."
20,61,3.0,basil essential oil,"An essential oil extracted from basil leaves, used for its antimicrobial and aromatic properties."
21,144,0.0,control,Material used as a baseline in experiments.
23,43,5.0,pectin,"A polysaccharide found in fruits, used as a gelling agent in jams and jellies."
23,145,1.0,grape pomace extract (GPE),"A byproduct of winemaking, rich in polyphenols with antioxidant properties."
24,43,5.0,pectin,"A polysaccharide found in fruits, used as a gelling agent in jams and jellies."
24,146,1.0,wine lees extract (WLE),"A byproduct of wine fermentation, containing antioxidants and nutrients."
25,43,5.0,pectin,"A polysaccharide found in fruits, used as a gelling agent in jams and jellies."
26,144,0.0,control,Material used as a baseline in experiments.
27,144,0.0,control,Material used as a baseline in experiments.
28,148,0.06,sodium nitroprusside (SNP),A chemical compound used as a nitric oxide donor in research.
28,23,1.0,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
29,147,0.25,xanthan gum,A polysaccharide used as a thickener and stabilizer in food products.
29,23,1.0,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
30,147,0.5,xanthan gum,A polysaccharide used as a thickener and stabilizer in food products.
30,23,1.0,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
31,147,0.25,xanthan gum,A polysaccharide used as a thickener and stabilizer in food products.
31,148,0.06,sodium nitroprusside (SNP),A chemical compound used as a nitric oxide donor in research.
31,23,1.0,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
32,147,0.5,xanthan gum,A polysaccharide used as a thickener and stabilizer in food products.
32,148,0.06,sodium nitroprusside (SNP),A chemical compound used as a nitric oxide donor in research.
32,23,1.0,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
34,144,0.0,control,Material used as a baseline in experiments.
35,150,5.0,glyceryl palmitostearate,A fatty acid ester used as an emulsifier in food and cosmetics.
35,151,2.5,polysorbate 80,An emulsifier used to stabilize oil-water mixtures in food and pharmaceuticals.
36,150,5.0,glyceryl palmitostearate,A fatty acid ester used as an emulsifier in food and cosmetics.
36,151,2.5,polysorbate 80,An emulsifier used to stabilize oil-water mixtures in food and pharmaceuticals.
36,149,0.025,mentha piperita L. essential oil,"Peppermint essential oil, valued for its cooling effect and aromatic properties."
37,150,5.0,glyceryl palmitostearate,A fatty acid ester used as an emulsifier in food and cosmetics.
37,151,2.5,polysorbate 80,An emulsifier used to stabilize oil-water mixtures in food and pharmaceuticals.
37,149,0.05,mentha piperita L. essential oil,"Peppermint essential oil, valued for its cooling effect and aromatic properties."
38,150,5.0,glyceryl palmitostearate,A fatty acid ester used as an emulsifier in food and cosmetics.
38,151,2.5,polysorbate 80,An emulsifier used to stabilize oil-water mixtures in food and pharmaceuticals.
38,149,0.075,mentha piperita L. essential oil,"Peppermint essential oil, valued for its cooling effect and aromatic properties."
39,150,5.0,glyceryl palmitostearate,A fatty acid ester used as an emulsifier in food and cosmetics.
39,151,2.5,polysorbate 80,An emulsifier used to stabilize oil-water mixtures in food and pharmaceuticals.
39,149,0.1,mentha piperita L. essential oil,"Peppermint essential oil, valued for its cooling effect and aromatic properties."
40,150,5.0,glyceryl palmitostearate,A fatty acid ester used as an emulsifier in food and cosmetics.
40,151,2.5,polysorbate 80,An emulsifier used to stabilize oil-water mixtures in food and pharmaceuticals.
40,149,0.2,mentha piperita L. essential oil,"Peppermint essential oil, valued for its cooling effect and aromatic properties."
41,149,0.025,mentha piperita L. essential oil,"Peppermint essential oil, valued for its cooling effect and aromatic properties."
42,149,0.05,mentha piperita L. essential oil,"Peppermint essential oil, valued for its cooling effect and aromatic properties."
43,149,0.075,mentha piperita L. essential oil,"Peppermint essential oil, valued for its cooling effect and aromatic properties."
44,149,0.1,mentha piperita L. essential oil,"Peppermint essential oil, valued for its cooling effect and aromatic properties."
45,149,0.2,mentha piperita L. essential oil,"Peppermint essential oil, valued for its cooling effect and aromatic properties."
46,144,0.0,control,Material used as a baseline in experiments.
47,48,1.5,sodium alginate,"A sodium salt of alginic acid, used as a gelling agent and stabilizer in food."
