id,name,charactaristic,category_id
1,rice starch,"A fine, white powder derived from rice, used as a thickener and stabilizer in food products.",1
2,mung bean starch,"A starch extracted from mung beans, known for its use in transparent noodles and desserts.",1
3,cellulose nanofiber,"A nanoscale material derived from cellulose, used for its strength and biocompatibility.",1
4,agar,"A gelatinous substance obtained from seaweed, widely used as a gelling agent in food and microbiology.",1
5,corn starch,"A starch derived from corn kernels, commonly used as a thickener in cooking and baking.",1
6,potato starch,"A starch extracted from potatoes, used for its high water-binding capacity and thickening properties.",1
7,cane starch,"A starch obtained from sugarcane, used in food and industrial applications.",1
8,wheat starch,"A carbohydrate extracted from wheat, used in baking and as a thickener.",1
9,kudzu starch,"A starch derived from the roots of kudzu plants, used in traditional Asian desserts.",1
10,whey protein,"A high-quality protein derived from milk, known for its amino acid profile and digestibility.",2
11,casein protein,"A slow-digesting milk protein, used in supplements and food products for sustained energy release.",2
12,soy protein,"A plant-based protein derived from soybeans, widely used as a meat alternative and in supplements.",2
13,alginate,"A polysaccharide extracted from brown algae, used as a gelling and thickening agent.",1
14,hydroxypropylemethylcellulose,A cellulose derivative used as a thickener and emulsifier in food and pharmaceuticals.,4
15,polylactic acid,"A biodegradable polymer derived from lactic acid, used in packaging and bioplastics.",4
16,aloe vera,"A plant extract known for its hydrating and soothing properties, used in cosmetics and health products.",4
17,collagen,"A structural protein found in connective tissues, used in cosmetics and health supplements.",2
18,guar gum,"A natural polysaccharide extracted from guar beans, used as a thickener and stabilizer in food products.",1
19,β-casein,"A milk protein with emulsifying properties, used in food and pharmaceutical applications.",2
20,κ-casein,"A milk protein that stabilizes casein micelles, used in cheese production.",2
21,s2-casein,"A variant of casein protein found in milk, contributing to its nutritional value.",2
22,s1-casein,"A major casein protein in milk, important for its nutritional and functional properties.",2
23,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals.",4
24,citric acid,A natural organic acid used as a preservative and flavoring agent in food and beverages.,4
25,tween 20,A non-ionic surfactant used as an emulsifier in food and pharmaceutical applications.,4
26,tween 80,"An emulsifier used in food, pharmaceuticals, and cosmetics for stabilizing oil-water mixtures.",4
27,tea seed oil,"A plant oil extracted from tea seeds, known for its high antioxidant content.",3
28,thyme oil,"An essential oil extracted from thyme, used for its antimicrobial and aromatic properties.",3
29,lemongrass oil,"An essential oil with a citrus scent, used in aromatherapy and as a natural preservative.",3
30,lemon essential oil,"An oil extracted from lemon peel, used for its refreshing scent and antibacterial properties.",3
31,tea tree essential oil,"An essential oil known for its strong antimicrobial properties, used in skincare and cleaning products.",3
32,oregano essential oil,"An essential oil with potent antimicrobial properties, used in food preservation and health products.",3
33,citrus essential oil,"An oil derived from citrus fruits, valued for its fresh aroma and antioxidant properties.",3
34,cinnamon oil,"An oil extracted from cinnamon bark, used for its warm aroma and antimicrobial properties.",3
35,methylcellulose,A chemical compound used as a thickener and emulsifier in food and pharmaceuticals.,4
36,paraffin wax,A wax used as a coating for food preservation and in industrial applications.,4
37,acetoglycerid,A compound used as an emulsifier and stabilizer in food products.,4
38,shellic resin,A natural resin used as a coating agent in food and pharmaceuticals.,4
39,sorbitol,A sugar alcohol used as a sweetener and humectant in food and cosmetics.,4
40,olive oil,"A plant oil extracted from olives, used in cooking and cosmetics for its health benefits.",3
41,gelatin,"A protein derived from collagen, used as a gelling agent in food and pharmaceuticals.",2
42,konjak glucomannan,"A water-soluble polysaccharide extracted from konjac root, used as a thickener and dietary fiber.",1
43,pectin,"A polysaccharide found in fruits, used as a gelling agent in jams and jellies.",1
44,trehalose,"A disaccharide sugar known for its ability to retain moisture, used in food preservation.",4
45,hazelnut oil,"A plant oil extracted from hazelnuts, used in cooking and cosmetics for its high vitamin E content.",3
46,rapeseed oil,"A plant oil derived from rapeseeds, used in cooking and biodiesel production.",3
47,coconut oil,"A versatile oil extracted from coconuts, used in cooking, cosmetics, and as a natural preservative.",3
48,sodium alginate,"A sodium salt of alginic acid, used as a gelling agent and stabilizer in food.",1
49,canola oil,"A plant oil derived from canola seeds, known for its low saturated fat content.",3
50,alulose,"A low-calorie sweetener naturally found in fruits, used as a sugar substitute in food.",4
51,zein nanoparticles,"Nanoparticles derived from zein protein, used for encapsulation and controlled release in food.",2
52,polyvinyl alcohol,A synthetic polymer used in food coatings and packaging for its film-forming properties.,4
53,coconut shell extract,"An extract derived from coconut shells, used for its antioxidant properties.",3
54,sepiolite clay,A natural clay mineral used in industrial applications and as an additive in coatings.,4
55,montmorillonite,A clay mineral used in nanocomposites and as an additive in food packaging.,4
56,"2,2-diphenyl-1-picrylhydrazyl-hydrate",A chemical compound used in antioxidant testing and research.,4
57,methanol,A simple alcohol used as a solvent in chemical applications.,4
58,origanum essential oil,"An oil extracted from oregano, known for its strong antimicrobial and antioxidant properties.",3
59,hinokitiol,"A natural compound derived from trees, used for its antimicrobial and preservative properties.",4
60,limonene,"A citrus-scented compound found in citrus peel, used as a flavoring and cleaning agent.",4
61,basil essential oil,"An essential oil extracted from basil leaves, used for its antimicrobial and aromatic properties.",3
62,clove oil,"An essential oil known for its strong aroma and antimicrobial properties, used in food and dental care.",3
63,jicama starch,"A starch extracted from jicama root, used as a thickening agent in food products.",1
64,agarwood,A resinous heartwood used for its aromatic properties in perfumes and incense.,3
65,aetoxylon bouya essential oil,"An essential oil derived from Aetoxylon tree, used for its distinctive aroma.",3
66,calcium orioinate,A calcium salt used in food preservation and as a firming agent.,4
67,span 80,A surfactant used as an emulsifier in food and cosmetic products.,4
68,"2,2,6,6-tetramethylpiperidine-1-oxyl",A stable free radical compound used in chemical and antioxidant research.,4
69,nanofibrillated cellulose,A nanoscale cellulose material used as a reinforcement in composites and coatings.,1
70,β-carotene,"A pigment and antioxidant found in plants, used as a natural food colorant.",4
71,hydroxypropyl cellulose,A cellulose derivative used as a thickener and stabilizer in food and pharmaceuticals.,4
72,sandalwood essential oil,"An oil extracted from sandalwood, known for its calming aroma and skin-care properties.",3
73,peppermint essential oil,"An essential oil with a cooling sensation, used in food, cosmetics, and aromatherapy.",3
74,1-methylcyclopropene,A synthetic compound used to delay fruit ripening and extend shelf life.,4
75,cajuput essential oil,"An essential oil extracted from cajuput leaves, used for its antiseptic properties.",3
76,sunflower oil,"A plant oil derived from sunflower seeds, used in cooking and cosmetics.",3
77,carboxy-methyl cellulose,A cellulose derivative used as a thickener and stabilizer in food and pharmaceuticals.,4
78,chitosan-zinc acid,"A biopolymer composite with antimicrobial properties, used in coatings and packaging.",1
79,"2,3-epoxypropyltrimethyl ammonium chloride",A chemical compound used in biopolymer modification for improved properties.,4
80,beeswax,"A natural wax produced by honeybees, used in food coatings and cosmetics.",3
81,α-pinene,"A terpene with a pine-like aroma, used in fragrances and as an antimicrobial agent.",4
82,curcumin,"A natural compound found in turmeric, known for its antioxidant and anti-inflammatory properties.",4
83,catechin,"A type of flavonoid with antioxidant properties, found in tea and cocoa.",4
84,resveratrol,"A polyphenolic compound found in grapes and berries, known for its antioxidant properties.",4
85,gallic acid,"An organic acid found in plants, used for its antioxidant and antimicrobial effects.",4
86,chlorogenic acid,"A polyphenol found in coffee and fruits, used for its antioxidant properties.",4
87,chitosan nanoparticles,"Nanoparticles derived from chitosan, used for their antimicrobial and biocompatible properties.",1
88,sodium tripolyphosphate pentabasic,A sodium phosphate compound used as a food additive and preservative.,4
89,ferulago augulata essential oil,"An essential oil with antioxidant and antimicrobial properties, derived from Ferulago augulata.",3
90,thyme volatile oil,"An essential oil with a strong antimicrobial profile, used in food preservation.",3
91,chitosan oligosaccharide,"A low molecular weight derivative of chitosan, used for its antimicrobial properties.",1
92,kojic acid,A compound used in cosmetics for its skin-lightening and antimicrobial properties.,4
93,clove essential oil,"An oil derived from clove buds, known for its strong aroma and antimicrobial effects.",3
94,caffeic acid,"A phenolic compound found in plants, used for its antioxidant properties.",4
95,chlorogenic acid,"A natural compound with antioxidant properties, found in coffee and certain fruits.",4
96,ascorbic acid,"Also known as vitamin C, used as an antioxidant and preservative in food.",4
97,hydrogen peroxide,A chemical compound used as a bleaching agent and disinfectant.,4
98,β-cyclodextrin,A cyclic oligosaccharide used for encapsulating flavors and active compounds in food.,1
99,lauric acid,"A saturated fatty acid found in coconut oil, used for its antimicrobial properties.",3
100,valeriana officinalis essential oil,"An essential oil with a calming effect, derived from valerian root.",3
101,glutathione,"A tripeptide with antioxidant properties, used in health supplements and skincare.",4
102,malic acid,"An organic acid found in fruits, used as a flavor enhancer in food.",4
103,oxalic acid,"An organic acid found in plants, used in food and cleaning applications.",4
104,chrysanthemum morifolium essential oil,"An essential oil with calming properties, derived from chrysanthemum flowers.",3
105,calcium lactate,A calcium salt used as a food additive and firming agent in food preservation.,4
106,acorn starch,"A starch extracted from acorns, used as a thickener in traditional dishes.",1
107,eugenol,"A compound found in clove oil, used for its aromatic and antimicrobial properties.",4
108,sodium tripolyphosphate,A compound used as a food preservative and texturizer.,4
109,diethylaminoethyl-chitosan,A modified chitosan used for enhanced antimicrobial and biocompatibility properties.,1
110,glutenin,"A protein found in wheat, responsible for dough elasticity and strength.",2
111,galangal essential oil,"An essential oil extracted from galangal root, used for its antimicrobial properties.",3
112,sandalwood oil,An essential oil known for its aromatic and skin-soothing properties.,3
113,chia seed mucilage,"A gel-like substance derived from chia seeds, used as a stabilizer and thickener.",1
114,bacterial cellulose nanofiber,"Nanofibers derived from bacterial cellulose, used for their strength and biodegradability.",1
115,bagasse cellulose nanocrystal,"Nanocrystals derived from sugarcane bagasse, used in nanocomposites and packaging.",1
116,xylooligosaccharides,"A prebiotic fiber derived from hemicellulose, used for gut health.",1
117,selenium,An essential trace element used in health supplements for its antioxidant properties.,4
118,liposome-cellulose nanofiber,A composite material used for drug delivery and controlled release applications.,1
119,polycaprolactone,A biodegradable polyester used in biomedical and packaging applications.,4
120,titanium dioxide,A white pigment used as a colorant in food and cosmetics.,4
121,rosemary essential oil,An essential oil used for its aromatic and antioxidant properties.,3
122,stearic acid,A saturated fatty acid used in food and cosmetics.,3
123,lecithin,A natural emulsifier used in food and pharmaceuticals.,4
