id,name,smiles_1,ratio_1,smiles_2,ratio_2,smiles_3,ratio_3,smiles_4,ratio_4,smiles_5,ratio_5,smiles_6,ratio_6,smiles_7,ratio_7,smiles_8,ratio_8,smiles_9,ratio_9,smiles_10,ratio_10,smiles_11,ratio_11,smiles_12,ratio_12,smiles_13,ratio_13,smiles_14,ratio_14,smiles_15,ratio_15,smiles_16,ratio_16,smiles_17,ratio_17,smiles_18,ratio_18,smiles_19,ratio_19,smiles_20,ratio_20,smiles_21,ratio_21,smiles_22,ratio_22,smiles_23,ratio_23,smiles_24,ratio_24,smiles_25,ratio_25,total_ratio
1,rice starch,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
3,cellulose nanofiber,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
5,corn starch,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
10,whey protein,C[C@@H](C(=O)O)N,5.21,C(C[C@@H](C(=O)O)N)CN=C(N)N,2.32,C([C@@H](C(=O)O)N)C(=O)N,12.18,C([C@@H](C(=O)O)N)S,2.15,C(CC(=O)O)[C@@H](C(=O)O)N,17.66,C(C(=O)O)N,1.43,C1=C(NC=N1)C[C@@H](C(=O)O)N,1.43,CC[C@H](C)[C@@H](C(=O)O)N,6.41,CC(C)C[C@@H](C(=O)O)N,9.94,CCC(CC1=CC=CC=C1)CNC(=O)C2=CC3=C(C=C2)SC4=CC=CC=C4C(=O)N3,8.07,CSCC[C@@H](C(=O)O)N,2.55,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,2.74,C1C[C@H](NC1)C(=O)O,5.45,C(C(C(=O)O)N)O,4.51,C[C@H]([C@@H](C(=O)O)N)O,7.02,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,1.6,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,2.78,CC(C)[C@@H](C(=O)O)N,5.65,,,,,,,,,,,,,,,99.1
12,soy protein,C[C@@H](C(=O)O)N,3.6,C(C[C@@H](C(=O)O)N)CN=C(N)N,6.7,C([C@@H](C(=O)O)N)C(=O)N,10.2,C([C@@H](C(=O)O)N)S,1.1,C(CC(=O)O)[C@@H](C(=O)O)N,17.5,C(C(=O)O)N,3.6,C1=C(NC=N1)C[C@@H](C(=O)O)N,2.2,CC[C@H](C)[C@@H](C(=O)O)N,4.3,CC(C)C[C@@H](C(=O)O)N,6.8,CCC(CC1=CC=CC=C1)CNC(=O)C2=CC3=C(C=C2)SC4=CC=CC=C4C(=O)N3,5.6,CSCC[C@@H](C(=O)O)N,1.1,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,4.7,C1C[C@H](NC1)C(=O)O,4.9,C(C(C(=O)O)N)O,4.5,C[C@H]([C@@H](C(=O)O)N)O,3.2,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,1.2,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,3.8,CC(C)[C@@H](C(=O)O)N,4.2,,,,,,,,,,,,,,,89.2
13,alginate,[C@@H]1([C@@H]([C@@H](O[C@H]([C@H]1O)O)C(=O)O)O)O,55,[C@@H]1([C@@H]([C@H](O[C@H]([C@H]1O)O)C(=O)O)O)O,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
14,hydroxypropylethylcellulose,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
14,hydroxypropylemethylcellulose,CC(COC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2OCC(C)O)OCC(C)O)OCC(C)O)COCC(C)O)OCC(C)O)OCC(C)O)OCC(C)O)O.COC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2OC)OC)OC)COC)OC)OC)OC,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
16,aloe vera,OC[C@H]1OC(O)C@@HC@@H[C@H]1O,35,OC[C@H]1OC(O)C@HC@@H[C@H]1O,15,OC(=O)CC(O)C(=O)O,10,OC(=O)CC(O)(CC(=O)O)C(=O)O,5,OCC1=CC(O)=C2C(=C1)C(=O)C3=C(O)C=CC=C3C2C4OC(CO)C(O)C(O)C4O,0.5,OCC1=CC(O)=C2C(=O)C3=C(O)C=CC=C3C(=O)C2=C1,0.2,OC(=O)C1=CC=CC=C1O,0.1,OC(=O)C=CC1=CC=C(O)C=C1,0.05,OC(=O)C=CC1=CC=CC=C1,0.03,CCC@HC@H[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4CC@@HO)C,0.02,CC@H[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4CC@@HO)C,0.01,CC(=C)[C@@H]1CC[C@@]2([C@H]1CC[C@]34[C@H]2CC[C@@H]5[C@@]3(CCC@@HO)C(C)C4)C,0.01,NC(CC(=O)O)C(=O)O,0.3,NC(CCC(=O)O)C(=O)O,0.4,NC(CO)C(=O)O,0.2,NCC(=O)O,0.2,NC(C)C(=O)O,0.2,NC(C(C)C)C(=O)O,0.2,,,,,,,,,,,,,,,67.42
18,guar gum,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,37,C([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O)O)O)O)O,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
